CODGEO,LIBGEO,rank,REG,DEP,pop,area,year,type,rural_area,meanbuilt,b10,b25,b50,b75,b90,p10,p25,p50,p75,p90
75060,Paris,1,11,75,1990806,73.83,1876,manual,,,,,,,,,,,,
69123,Lyon,2,84,69,344513,5.21,1876,manual,,,,,,,,,,,,
13055,Marseille,3,93,13,318868,8.98,1876,manual,,,,,,,,,,,,
33063,Bordeaux,4,75,33,220446,5.95,1876,manual,,,,,,,,,,,,
59350,Lille,5,32,59,169686,2.52,1876,manual,,,,,,,,,,,,
44109,Nantes,6,52,44,135504,5.22,1876,manual,,,,,,,,,,,,
42218,Saint-Étienne,7,84,42,134406,1.16,1876,manual,,,,,,,,,,,,
31555,Toulouse,8,76,31,131642,4.51,1876,manual,,,,,,,,,,,,
76540,Rouen,9,28,76,104902,5.71,1876,manual,,,,,,,,,,,,
76351,Le Havre,10,28,76,101144,1.21,1876,manual,,,,,,,,,,,,
67482,Strasbourg,11,44,67,94306,2.41,1876,manual,,,,,,,,,,,,
29019,Brest,12,53,29,87389,1.75,1876,manual,,,,,,,,,,,,
51454,Reims,13,44,51,81892,2.56,1876,manual,,,,,,,,,,,,
83137,Toulon,14,93,83,70509,1.93,1876,manual,,,,,,,,,,,,
80021,Amiens,15,32,80,66896,3.12,1876,manual,,,,,,,,,,,,
54395,Nancy,16,44,54,66303,4.95,1876,manual,,,,,,,,,,,,
68224,Mulhouse,17,44,68,63617,0.346,1876,manual,,,,,,,,,,,,
30189,Nîmes,18,76,30,63001,2.14,1876,manual,,,,,,,,,,,,
87085,Limoges,19,75,87,59672,1.55,1876,manual,,,,,,,,,,,,
35238,Rennes,20,53,35,57177,1.84,1876,manual,,,,,,,,,,,,
49007,Angers,21,52,49,56846,3.45,1876,manual,,,,,,,,,,,,
34172,Montpellier,22,76,34,55258,1.66,1876,manual,,,,,,,,,,,,
25056,Besançon,23,27,25,54404,1.13,1876,manual,,,,,,,,,,,,
06088,Nice,24,93,6,53397,6.46,1876,manual,,,,,,,,,,,,
45234,Orléans,25,24,45,52157,2.57,1876,manual,,,,,,,,,,,,
37261,Tours,26,24,37,52008,2.17,1876,manual,,,,,,,,,,,,
57463,Metz,27,44,57,51635,1.65,1876,manual,,,,,,,,,,,,
50129,Cherbourg-en-Cotentin,28,28,50,51541,2.66,1876,manual,,,,,,,,,,,,
72181,Le Mans,29,52,72,50175,2.22,1876,manual,,,,,,,,,,,,
21231,Dijon,30,27,21,47939,2.25,1876,manual,,,,,,,,,,,,
59183,Dunkerque,31,32,59,45853,1.63,1876,manual,,,,,,,,,,,,
