year,CODGEO,LIBGEO,rank,density_data,reldensity_data,area_data,relarea_data,pop_data,relpop_data,popweight,group,ngroup
1876,13055,Marseille,3,35508.6859688196,0.193124563327595,8.98,0.121630773398348,318868.0,0.132263779274438,0.06667082050765234,2,2
1876,29019,Brest,12,49936.5714285714,0.271594915105801,1.75,0.023703101720168,87389.0,0.0362482262472681,0.018271812578694726,4,5
1876,30189,Nîmes,18,29439.7196261682,0.160116682500813,2.14,0.0289855072463768,63001.0,0.0261322878371893,0.013172624292191768,5,6
1876,31555,Toulouse,8,29188.9135254989,0.158752598830857,4.51,0.0610862792902614,131642.0,0.0546040004994091,0.02752449337427515,3,6
1876,33063,Bordeaux,4,37049.7478991597,0.20150608757265,5.95,0.0805905458485711,220446.0,0.091439156911113,0.04609216258022105,3,6
1876,35238,Rennes,20,31074.4565217391,0.169007685941207,1.84,0.0249221183800623,57177.0,0.0237165413512003,0.01195490768645972,5,6
1876,42218,Saint-Étienne,7,115867.24137931,0.630178498156804,1.16,0.0157117702830828,134406.0,0.0557504845803284,0.028102406955704304,3,6
1876,44109,Nantes,6,25958.6206896552,0.141183689243766,5.22,0.0707029662738724,135504.0,0.0562059257962651,0.02833198333501299,3,6
1876,51454,Reims,13,31989.0625,0.173982042928777,2.56,0.0346742516592171,81892.0,0.0339681166261346,0.017122467080461713,4,5
1876,54395,Nancy,16,13394.5454545455,0.0728502244254323,4.95,0.0670459162941894,66303.0,0.0275019298180848,0.013863026117763065,5,6
1876,59350,Lille,5,67335.7142857143,0.366225335096863,2.52,0.0341324664770419,169686.0,0.0703843334858384,0.03547895947119653,3,6
1876,67482,Strasbourg,11,39131.1203319502,0.212826251392784,2.41,0.0326425572260599,94306.0,0.0391173399910156,0.01971806013395719,4,5
1876,68224,Mulhouse,17,183864.161849711,1.0,0.346,0.00468644182581606,63617.0,0.0263877994847458,0.013301421240874967,5,6
1876,69123,Lyon,2,66125.3358925144,0.35964233174796,5.21,0.0705675199783286,344513.0,0.142901110770521,0.07203282984041305,2,2
