group,year,ngroup,relpop_data,popweight,grouplabel
2,1876,2,0.13758244502247952,0.1387036503480654,2(n=2)
4,1876,5,0.03610678229951358,0.09100257133908264,4(n=5)
5,1876,6,0.026039651038562203,0.07875557057257353,5(n=6)
3,1876,6,0.06198272890587506,0.18746354063648274,3(n=6)
1,1876,1,1.0,0.5040746671037957,1(n=1)
2,1881,2,0.131938761038806,0.13798429136974272,2(n=2)
4,1881,5,0.034112889195946586,0.08918991669348782,4(n=5)
5,1881,6,0.02410917044763228,0.0756416107034027,5(n=6)
3,1881,6,0.05554610884727496,0.17427381629080635,3(n=6)
1,1881,1,1.0,0.5229103649425604,1(n=1)
2,1886,2,0.1317614904516545,0.13790221590091734,2(n=2)
4,1886,5,0.03405253945423458,0.08909888298347998,4(n=5)
5,1886,6,0.024780466465772116,0.07780606970157636,5(n=6)
3,1886,6,0.05474539941217572,0.17189040280528325,3(n=6)
1,1886,1,1.0,0.5233024286087431,1(n=1)
2,1891,2,0.1343368575516575,0.14031336047625792,2(n=2)
4,1891,5,0.03461719285904134,0.09039318674026244,4(n=5)
5,1891,6,0.024839028158202034,0.07783226975891205,5(n=6)
3,1891,6,0.054003035613013985,0.16921671849888056,3(n=6)
1,1891,1,1.0,0.5222444645256871,1(n=1)
2,1896,2,0.136288906437752,0.14273301550790177,2(n=2)
4,1896,5,0.03489025940319364,0.09134991369868575,4(n=5)
5,1896,6,0.024833503666401833,0.07802309718181652,5(n=6)
3,1896,6,0.05227898061994852,0.16425261776473088,3(n=6)
1,1896,1,1.0,0.5236413558468651,1(n=1)
2,1901,2,0.129818279912696,0.13884154457808678,2(n=2)
4,1901,5,0.03453678953004552,0.09234333574486965,4(n=5)
5,1901,6,0.024108361739869716,0.07735217683045442,5(n=6)
3,1901,6,0.04884166727975739,0.1567094987574395,3(n=6)
1,1901,1,1.0,0.5347534440891496,1(n=1)
2,1906,2,0.128896918322369,0.13922887843957005,2(n=2)
4,1906,5,0.03432229439242866,0.0926836462796427,4(n=5)
5,1906,6,0.023847045008537265,0.07727564104363212,5(n=6)
3,1906,6,0.04651591818153946,0.1507334512483518,3(n=6)
1,1906,1,1.0,0.5400783829888033,1(n=1)
2,1911,2,0.12961676843902897,0.14145915338653925,2(n=2)
4,1911,5,0.0333210400857767,0.0909135094412987,4(n=5)
5,1911,6,0.02297176260294591,0.07521170590990027,5(n=6)
3,1911,6,0.04481647031975122,0.1467333283853734,3(n=6)
1,1911,1,1.0,0.5456823028768885,1(n=1)
2,1921,2,0.1304247056287485,0.14511594463691033,2(n=2)
4,1921,5,0.028924963239719177,0.08045778872730945,4(n=5)
5,1921,6,0.0212393992840085,0.07089551344802936,5(n=6)
3,1921,6,0.04410225013492558,0.14720998582493255,3(n=6)
1,1921,1,1.0,0.5563207673628183,1(n=1)
2,1926,2,0.13247107085736048,0.14778947464832662,2(n=2)
4,1926,5,0.02884611603804752,0.08045440237095428,4(n=5)
5,1926,6,0.020720246586630166,0.06934874922810456,5(n=6)
3,1926,6,0.04320091062084442,0.14458945285930316,3(n=6)
1,1926,1,1.0,0.5578179208933114,1(n=1)
2,1931,2,0.1403089470606655,0.15647025610877136,2(n=2)
4,1931,5,0.02908342462435562,0.08108340549240742,4(n=5)
5,1931,6,0.019760444250320818,0.06610957827230947,5(n=6)
3,1931,6,0.04147145926798957,0.1387448909454319,3(n=6)
1,1931,1,1.0,0.5575918691810798,1(n=1)
2,1936,2,0.149932883120316,0.16405571965339744,2(n=2)
4,1936,5,0.030862884103595743,0.08442498664772086,4(n=5)
5,1936,6,0.02029048115676645,0.06660519198345144,5(n=6)
3,1936,6,0.04198428472333041,0.1378169064932588,3(n=6)
1,1936,1,1.0,0.5470971952221715,1(n=1)
2,1954,2,0.115655960054805,0.13178841629710286,2(n=2)
4,1954,5,0.02894066152332434,0.08244373975500446,4(n=5)
5,1954,6,0.019509788595757197,0.06669342782095468,5(n=6)
3,1954,6,0.043683742685756505,0.14933111783667607,3(n=6)
1,1954,1,1.0,0.5697432982902619,1(n=1)
2,1975,2,0.11075720812018106,0.1160669551965528,2(n=2)
4,1975,5,0.0386402825283372,0.1012317847550879,4(n=5)
5,1975,6,0.0227204768668719,0.07142911821206413,5(n=6)
3,1975,6,0.05957779286402005,0.1873019318314977,3(n=6)
1,1975,1,1.0,0.5239702100047975,1(n=1)
2,1990,2,0.1106778407924847,0.11741610485958481,2(n=2)
4,1990,5,0.03439438643377436,0.09122094484254134,4(n=5)
5,1990,6,0.021455486358234185,0.06828520374124103,5(n=6)
3,1990,6,0.06052727692874287,0.19263685604570405,3(n=6)
1,1990,1,1.0,0.5304408905109288,1(n=1)
2,2015,2,0.11155038672016665,0.12132084376801602,2(n=2)
4,2015,5,0.029309937254339856,0.07969282812538346,4(n=5)
5,2015,6,0.019077568281363432,0.06224559364575989,5(n=6)
3,2015,6,0.05913601018347175,0.19294681614678127,3(n=6)
1,2015,1,1.0,0.5437939183140594,1(n=1)
